Exercise,BodyPart,Experience,Projectible,RepTime,Day,SetTime(avg.),Reps,Sets,MaxWeightSet,CurrentPR,CurrPRDate,GoalPR,ProjPR,Gender,Weight(lbs),Height(in),Age
Banded Bench Press,Chest,Expert,Yes,2.047,1,16.376,8,3,105,125,3/12/2023,140,131.25,Male,197.9,69.1,20
Cable Crossover Fly,Chest,Moderate,No,3.473,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20
Cable Fly,Chest,Beginner,No,3.23,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20
Decline Bench Press,Chest,Moderate,No,2.99,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20
Dumbbell Chest Fly,Chest,Beginner,No,2.683,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20
Flat Barbell Bench Press,Chest,Beginner,Yes,2.21,1,17.68,8,3,185,200,3/12/2023,300,231.25,Male,197.9,69.1,20
Flat Dumbbell Bench Press,Chest,Beginner,Yes,1.76,1,14.08,8,3,55,65,3/12/2023,70,68.75,Male,197.9,69.1,20
Footless Flat Bench Press,Chest,Expert,Yes,2.347,1,18.776,8,3,135,165,3/12/2023,175,168.75,Male,197.9,69.1,20
Incline Barbell Bench Press,Chest,Moderate,Yes,2.447,1,19.576,8,3,155,180,3/12/2023,190,193.75,Male,197.9,69.1,20
Incline Dumbbell Bench Press,Chest,Beginner,Yes,1.95,1,15.6,8,3,50,60,3/12/2023,65,62.5,Male,197.9,69.1,20
Machine Chest Press,Chest,Beginner ,Yes,1.813,1,14.504,8,3,155,180,3/12/2023,200,193.75,Male,197.9,69.1,20
Machine Fly,Chest,Beginner ,No,2.977,0,0,0,0,0,0,0,0,0,Male,198.9,70.1,21
Push-Up Claps,Chest,Expert,No,1.233,0,0,0,0,0,0,0,0,0,Male,199.9,71.1,22
Push-Ups,Chest,Beginner,No,1.123,0,0,0,0,0,0,0,0,0,Male,200.9,72.1,23
Single Arm Dumbbell Bench Press,Chest,Moderate,No,1.943,0,0,0,0,0,0,0,0,0,Male,201.9,73.1,24
Standing One-Arm Landmine Press ,Chest,Moderate,No,2.253,0,0,0,0,0,0,0,0,0,Male,202.9,74.1,25
Assisted Machine Pull-Ups,Back,Beginner,No,1.2,0,0,0,0,0,0,0,0,0,Male,203.9,75.1,26
Barbell Bent-Over Row,Back,Moderate,No,0.883,0,0,0,0,0,0,0,0,0,Male,204.9,76.1,27
Barbell Deadlift,Back,Beginner,Yes,1.383,2,11.064,8,3,170,185,3/14/2023,250,193.75,Male,205.9,77.1,28
Barbell Romainian Deadlift,Back,Beginner,Yes,1.317,2,10.536,8,3,160,175,3/14/2023,190,212.5,Male,206.9,78.1,29
Dumbbell Single Arm Row,Back,Moderate,No,0.933,0,0,0,0,0,0,0,0,0,Male,207.9,79.1,30
Dumbbell Deadlift,Back,Beginner,No,1.233,0,0,0,0,0,0,0,0,0,Male,208.9,80.1,31
Farmer's Walk,Back,Beginner,No,8.4,0,0,0,0,0,0,0,0,0,Male,209.9,81.1,32
Lat Pulldowns,Back,Beginner,No,1.217,0,0,0,0,0,0,0,0,0,Male,210.9,82.1,33
Pull-Ups,Back,Beginner,No,1.067,0,0,0,0,0,0,0,0,0,Male,211.9,83.1,34
Renegade Row,Back,Expert,No,3.15,0,0,0,0,0,0,0,0,0,Male,212.9,84.1,35
Seated Cable Row,Back,Beginner,Yes,1.117,2,8.936,8,3,85,100,3/14/2023,110,106.25,Male,213.9,85.1,36
T-Bar Row,Back,Beginner,Yes,1.183,2,9.464,8,3,90,105,3/14/2023,115,112.5,Male,214.9,86.1,37
Weighted Pull-Ups,Back,Moderate,No,1.083,0,0,0,0,0,0,0,0,0,Male,215.9,87.1,38
Barbell Lateral Raise,Shoulder,Beginner,No,1.356,0,0,0,0,0,0,0,0,0,Male,216.9,88.1,39
Barbell Shrugs,Shoulder,Moderate,Yes,0.767,3,6.136,8,3,45,55,3/16/2023,70,0,Male,217.9,89.1,40
